coefficient,dataset,method,accuracy,perplexity,steer.top_k
1.0,Refusal_open,Baseline,84.0,1.43,
2.0,Refusal_open,Baseline,84.0,1.43,
3.0,Refusal_open,Baseline,84.0,1.43,
1.0,Refusal_open_2,Baseline,84.0,1.43,
2.0,Refusal_open_2,Baseline,84.0,1.43,
3.0,Refusal_open_2,Baseline,84.0,1.43,
1.0,SorryBench,Baseline,90.0,1.51,
2.0,SorryBench,Baseline,90.0,1.51,
3.0,SorryBench,Baseline,90.0,1.51,
1.0,XSTest,Baseline,82.0,1.48,
2.0,XSTest,Baseline,82.0,1.48,
3.0,XSTest,Baseline,82.0,1.48,
0.3,Refusal_open,CAA,86.00,1.38,15
0.5,Refusal_open,CAA,86.00,1.40,15
0.7,Refusal_open,CAA,86.00,1.43,15
1.0,Refusal_open,CAA,86.00,1.48,15
1.3,Refusal_open,CAA,84.00,1.53,15
1.5,Refusal_open,CAA,86.00,1.58,15
1.7,Refusal_open,CAA,88.0,1.83,15
2.0,Refusal_open,CAA,88.0,2.07,15
3.0,Refusal_open,CAA,94.0,3.13,15
0.3,Refusal_open_2,CAA,88.0,1.47,15
0.5,Refusal_open_2,CAA,88.0,1.51,15
0.7,Refusal_open_2,CAA,90.0,1.57,15
1.0,Refusal_open_2,CAA,92.0,1.74,15
1.3,Refusal_open_2,CAA,92.0,2.15,15
1.5,Refusal_open_2,CAA,96.0,2.56,15
1.7,Refusal_open_2,CAA,98.0,3.08,15
2.0,Refusal_open_2,CAA,98.0,3.69,15
3.0,Refusal_open_2,CAA,46.0,2.77,15
0.3,SorryBench,CAA,90.23,1.52,15
0.5,SorryBench,CAA,90.45,1.53,15
0.7,SorryBench,CAA,90.45,1.56,15
1.0,SorryBench,CAA,90.9,1.64,15
1.3,SorryBench,CAA,90.91,1.77,15
1.5,SorryBench,CAA,91.36,1.86,15
1.7,SorryBench,CAA,91.14,1.97,15
2.0,SorryBench,CAA,91.0,2.19,15
3.0,SorryBench,CAA,92.0,3.32,15
0.3,SorryBench_2,CAA,90.68,1.52,15
0.5,SorryBench_2,CAA,92.05,1.57,15
0.7,SorryBench_2,CAA,92.95,1.62,15
1.0,SorryBench_2,CAA,93.64,1.79,15
1.3,SorryBench_2,CAA,95.68,2.1,15
1.5,SorryBench_2,CAA,96.14,2.38,15
1.7,SorryBench_2,CAA,97.5,2.81,15
2.0,SorryBench_2,CAA,98.64,3.59,15
1.0,XSTest,CAA,81.0,1.62,15
2.0,XSTest,CAA,75.0,2.13,15
3.0,XSTest,CAA,51.0,3.41,15
0.3,gms8k,CAA,60.67,1.10,15
0.5,gms8k,CAA,60.00,1.13,15
0.7,gms8k,CAA,54.00,1.13,15
1.0,gms8k,CAA,55.67,1.19,15
1.3,gms8k,CAA,52.00,1.25,15
1.5,gms8k,CAA,47.00,1.30,15
1.7,gms8k,CAA,41.67,1.36,15
0.3,Refusal_open,CAST,84.00,1.38,15
0.5,Refusal_open,CAST,84.00,1.39,15
0.7,Refusal_open,CAST,84.00,1.38,15
1.0,Refusal_open,CAST,86.00,1.39,15
1.3,Refusal_open,CAST,84.00,1.38,15
1.5,Refusal_open,CAST,86.0,1.43,15
1.7,Refusal_open,CAST,84.0,1.43,15
2.0,Refusal_open,CAST,84.0,1.44,15
0.3,Refusal_open_2,CAST,86.0,1.44,15
0.5,Refusal_open_2,CAST,84.0,1.42,15
0.7,Refusal_open_2,CAST,86.0,1.43,15
1.0,Refusal_open_2,CAST,84.0,1.51,15
1.3,Refusal_open_2,CAST,84.0,1.44,15
1.5,Refusal_open_2,CAST,84.0,1.44,15
1.7,Refusal_open_2,CAST,86.0,1.44,15
2.0,Refusal_open_2,CAST,84.0,1.44,15
0.3,SorryBench,CAST,90.45,1.5,15
0.5,SorryBench,CAST,90.45,1.51,15
0.7,SorryBench,CAST,90.45,1.51,15
1.0,SorryBench,CAST,90.23,1.51,15
1.3,SorryBench,CAST,90.68,1.51,15
1.5,SorryBench,CAST,90.68,1.51,15
1.7,SorryBench,CAST,90.45,1.51,15
2.0,SorryBench,CAST,90.68,1.51,15
0.3,gms8k,CAST,60.67,1.12,15
0.5,gms8k,CAST,60.00,1.13,15
0.7,gms8k,CAST,57.67,1.17,15
1.0,gms8k,CAST,50.67,1.24,15
0.5,Refusal_open,MANIFOLD,86.00,1.44,15
1.0,Refusal_open,MANIFOLD,86.00,1.43,15
1.5,Refusal_open,MANIFOLD,86.00,1.45,15
2.0,Refusal_open,MANIFOLD,86.00,1.48,15
3.0,Refusal_open,MANIFOLD,88.00,1.52,15
5.0,Refusal_open,MANIFOLD,84.00,1.75,15
7.5,Refusal_open,MANIFOLD,86.00,2.31,15
10.0,Refusal_open,MANIFOLD,88.00,3.08,15
0.5,Refusal_open_2,MANIFOLD,86.00,1.43,15
1.0,Refusal_open_2,MANIFOLD,88.00,1.44,15
1.5,Refusal_open_2,MANIFOLD,86.00,1.44,15
2.0,Refusal_open_2,MANIFOLD,88.00,1.46,15
3.0,Refusal_open_2,MANIFOLD,90.00,1.56,15
5.0,Refusal_open_2,MANIFOLD,94.00,2.18,15
7.5,Refusal_open_2,MANIFOLD,96.00,4.94,15
10.0,Refusal_open_2,MANIFOLD,98.00,6.87,15
0.3,Refusal_open,SAECOT,84.00,1.44,15
0.5,Refusal_open,SAECOT,84.00,1.45,15
0.7,Refusal_open,SAECOT,84.00,1.45,15
1.0,Refusal_open,SAECOT,84.00,1.47,15
1.3,Refusal_open,SAECOT,84.00,1.48,15
1.5,Refusal_open,SAECOT,84.00,1.48,15
1.7,Refusal_open,SAECOT,84.00,1.49,15
2.0,Refusal_open,SAECOT,84.00,1.49,15
2.5,Refusal_open,SAECOT,86.00,1.55,top3
2.5,Refusal_open,SAECOT,86.00,1.55,top5
2.5,Refusal_open,SAECOT,86.00,1.55,mid5
4.0,Refusal_open,SAECOT,88.00,1.92,top3
4.0,Refusal_open,SAECOT,88.00,1.92,top5
4.0,Refusal_open,SAECOT,88.00,1.92,mid5
5.0,Refusal_open,SAECOT,82.00,2.40,top3
5.0,Refusal_open,SAECOT,82.00,2.40,top5
5.0,Refusal_open,SAECOT,82.00,2.40,mid5
7.5,Refusal_open,SAECOT,84.00,4.87,top3
7.5,Refusal_open,SAECOT,84.00,4.87,top5
7.5,Refusal_open,SAECOT,84.00,4.87,mid5
10.0,Refusal_open,SAECOT,56.00,2.96,top3
10.0,Refusal_open,SAECOT,56.00,2.96,top5
10.0,Refusal_open,SAECOT,56.00,2.96,mid5
0.3,Refusal_open_2,SAECOT,84.00,1.46,15
0.5,Refusal_open_2,SAECOT,84.00,1.47,15
0.7,Refusal_open_2,SAECOT,86.00,1.47,15
1.0,Refusal_open_2,SAECOT,84.00,1.45,15
1.3,Refusal_open_2,SAECOT,84.00,1.47,15
1.5,Refusal_open_2,SAECOT,86.00,1.47,15
1.7,Refusal_open_2,SAECOT,86.00,1.47,15
2.0,Refusal_open_2,SAECOT,86.00,1.49,15
2.5,Refusal_open_2,SAECOT,86.00,1.51,top3
2.5,Refusal_open_2,SAECOT,86.00,1.51,top5
2.5,Refusal_open_2,SAECOT,86.00,1.51,mid5
4.0,Refusal_open_2,SAECOT,84.00,1.70,top3
4.0,Refusal_open_2,SAECOT,84.00,1.70,top5
4.0,Refusal_open_2,SAECOT,84.00,1.70,mid5
5.0,Refusal_open_2,SAECOT,84.00,2.13,top3
5.0,Refusal_open_2,SAECOT,84.00,2.13,top5
5.0,Refusal_open_2,SAECOT,84.00,2.13,mid5
7.5,Refusal_open_2,SAECOT,78.00,6.58,top3
7.5,Refusal_open_2,SAECOT,78.00,6.58,top5
7.5,Refusal_open_2,SAECOT,78.00,6.58,mid5
10.0,Refusal_open_2,SAECOT,4.00,2.64,top3
10.0,Refusal_open_2,SAECOT,4.00,2.64,top5
10.0,Refusal_open_2,SAECOT,4.00,2.64,mid5
0.3,SorryBench,SAECOT,91.14,1.51,15
0.5,SorryBench,SAECOT,90.91,1.51,15
0.7,SorryBench,SAECOT,91.14,1.51,15
1.0,SorryBench,SAECOT,91.14,1.51,15
1.3,SorryBench,SAECOT,91.14,1.52,15
1.5,SorryBench,SAECOT,90.91,1.53,15
1.7,SorryBench,SAECOT,91.82,1.54,15
0.3,SorryBench_2,SAECOT,90.45,1.52,15
0.5,SorryBench_2,SAECOT,90.00,1.51,15
0.7,SorryBench_2,SAECOT,90.00,1.51,15
1.0,SorryBench_2,SAECOT,90.23,1.52,15
1.3,SorryBench_2,SAECOT,90.68,1.52,15
1.5,SorryBench_2,SAECOT,90.23,1.52,15
1.7,SorryBench_2,SAECOT,90.68,1.53,15
2.0,SorryBench_2,SAECOT,90.23,1.53,15
1.3,gms8k,SAECOT,53.33,1.15,15
1.5,gms8k,SAECOT,52.00,1.17,15
1.7,gms8k,SAECOT,47.00,1.20,15
2.0,gms8k,SAECOT,43.00,1.24,15
0.3,Refusal_open,SAEIO,82.00,1.48,15
0.3,Refusal_open,SAEIO,84.00,1.45,top3
0.5,Refusal_open,SAEIO,84.00,1.42,15
0.7,Refusal_open,SAEIO,86.00,2.38,15
1.0,Refusal_open,SAEIO,84.00,1.49,15
1.3,Refusal_open,SAEIO,22.00,2.71,15
1.5,Refusal_open,SAEIO,84.00,1.53,15
1.7,Refusal_open,SAEIO,0.00,2.46,15
2.0,Refusal_open,SAEIO,86.00,1.61,15
3.0,Refusal_open,SAEIO,90.00,3.22,15
5.0,Refusal_open,SAEIO,26.00,595.81,15
7.5,Refusal_open,SAEIO,84.00,1.68,15
10.0,Refusal_open,SAEIO,88.00,2.24,15
0.3,Refusal_open_2,SAEIO,86.00,1.50,15
0.5,Refusal_open_2,SAEIO,84.00,1.42,15
0.7,Refusal_open_2,SAEIO,86.00,2.42,15
1.0,Refusal_open_2,SAEIO,84.00,1.49,15
1.3,Refusal_open_2,SAEIO,2.00,2.38,15
1.5,Refusal_open_2,SAEIO,84.00,1.53,15
1.7,Refusal_open_2,SAEIO,0.00,2.58,15
2.0,Refusal_open_2,SAEIO,86.00,1.61,15
3.0,Refusal_open_2,SAEIO,86.00,1.45,15
5.0,Refusal_open_2,SAEIO,26.00,595.81,15
7.5,Refusal_open_2,SAEIO,84.00,1.68,15
10.0,Refusal_open_2,SAEIO,88.00,2.24,15
15.0,Refusal_open_2,SAEIO,86.00,1.49,15
25.0,Refusal_open_2,SAEIO,20.00,8.21,15
0.3,SorryBench,SAEIO,91.59,1.56,15
0.5,SorryBench,SAEIO,91.82,1.74,15
0.7,SorryBench,SAEIO,93.18,2.69,15
1.0,SorryBench,SAEIO,47.50,2.58,15
1.3,SorryBench,SAEIO,12.50,2.08,15
1.5,SorryBench,SAEIO,2.50,2.27,15
0.3,SorryBench_2,SAEIO,91.36,1.51,15
0.5,SorryBench_2,SAEIO,91.82,1.57,15
0.7,SorryBench_2,SAEIO,90.91,1.88,15
1.0,SorryBench_2,SAEIO,29.32,2.29,15
1.3,SorryBench_2,SAEIO,15.68,2.67,15
1.5,SorryBench_2,SAEIO,26.82,2.11,15
1.7,SorryBench_2,SAEIO,23.64,1.97,15
0.3,Refusal_open,SAS,86.00,1.43,15
0.5,Refusal_open,SAS,86.00,1.45,15
0.7,Refusal_open,SAS,84.00,1.45,15
1.0,Refusal_open,SAS,84.00,1.46,15
1.3,Refusal_open,SAS,86.00,1.46,15
1.5,Refusal_open,SAS,86.00,1.47,15
1.7,Refusal_open,SAS,86.00,1.48,15
2.0,Refusal_open,SAS,84.00,1.50,15
2.5,Refusal_open,SAS,88.00,1.63,15
2.5,Refusal_open,SAS,84.00,1.44,top3
2.5,Refusal_open,SAS,84.00,1.44,top5
2.5,Refusal_open,SAS,84.00,1.42,mid5
3.0,Refusal_open,SAS,90.00,1.63,15
4.0,Refusal_open,SAS,88.00,2.64,15
4.0,Refusal_open,SAS,84.00,1.47,top3
4.0,Refusal_open,SAS,86.00,1.46,top5
4.0,Refusal_open,SAS,84.00,1.42,mid5
5.0,Refusal_open,SAS,86.00,4.46,15
5.0,Refusal_open,SAS,84.00,1.47,top3
5.0,Refusal_open,SAS,84.00,1.50,top5
5.0,Refusal_open,SAS,84.00,1.42,mid5
7.5,Refusal_open,SAS,80.00,8.95,15
7.5,Refusal_open,SAS,84.00,1.58,top3
7.5,Refusal_open,SAS,84.00,1.64,top5
7.5,Refusal_open,SAS,84.00,1.42,mid5
10.0,Refusal_open,SAS,0.00,4.68,15
10.0,Refusal_open,SAS,84.00,1.83,top3
10.0,Refusal_open,SAS,86.00,1.90,top5
10.0,Refusal_open,SAS,84.00,1.42,mid5
15.0,Refusal_open,SAS,44.00,6.76,15
15.0,Refusal_open,SAS,68.00,4.62,top5
15.0,Refusal_open,SAS,88.00,2.97,mid5
0.3,Refusal_open_2,SAS,86.00,1.44,15
0.5,Refusal_open_2,SAS,84.00,1.46,15
0.7,Refusal_open_2,SAS,86.00,1.46,15
1.0,Refusal_open_2,SAS,84.0,1.46,15
1.3,Refusal_open_2,SAS,86.00,1.47,15
1.5,Refusal_open_2,SAS,88.00,1.46,15
1.7,Refusal_open_2,SAS,90.00,1.49,15
2.0,Refusal_open_2,SAS,90.0,1.51,15
2.5,Refusal_open_2,SAS,88.00,1.54,15
2.5,Refusal_open_2,SAS,88.00,1.50,top5
3.0,Refusal_open_2,SAS,90.00,1.63,15
4.0,Refusal_open_2,SAS,92.00,1.90,15
4.0,Refusal_open_2,SAS,90.00,1.83,top3
4.0,Refusal_open_2,SAS,90.00,1.84,top5
4.0,Refusal_open_2,SAS,86.00,1.46,mid5
5.0,Refusal_open_2,SAS,90.00,2.46,15
5.0,Refusal_open_2,SAS,92.00,2.29,top3
5.0,Refusal_open_2,SAS,92.00,2.29,top5
