point_id,selected_for_plot,setup,method,coefficient,steer.top_k,accuracy,perplexity,ppl_cluster,cluster_center
3,True,c=3.0 k=15,CAA,3.0,15,94.0,3.13,3,3.5
23,True,c=2.0 k=15,SRPS,2.0,15,90.0,1.38,1,1.5
14,True,c=3.0 k=15,SAS,3.0,15,90.0,1.63,1,1.5
13,True,c=3.0 k=15,SAEIO,3.0,15,90.0,3.22,3,3.5
20,True,c=10.0 k=5,SPARE,10.0,top5,90.0,3.72,3,3.5
18,True,c=0.3 k=15,SPARE,0.3,15,88.0,1.35,1,1.5
5,True,c=3.0 k=15,MANIFOLD,3.0,15,88.0,1.52,1,1.5
1,True,c=1.7 k=15,CAA,1.7,15,88.0,1.83,1,1.5
8,True,c=4.0 k=3,SAECOT,4.0,top3,88.0,1.92,1,1.5
19,True,c=7.5 k=5,SPARE,7.5,top5,88.0,2.06,2,2.5
2,True,c=2.0 k=15,CAA,2.0,15,88.0,2.07,2,2.5
12,True,c=10.0 k=15,SAEIO,10.0,15,88.0,2.24,2,2.5
15,True,c=4.0 k=15,SAS,4.0,15,88.0,2.64,2,2.5
25,True,c=5.0 k=15,SRPS,5.0,15,88.0,3.02,3,3.5
7,True,c=10.0 k=15,MANIFOLD,10.0,15,88.0,3.08,3,3.5
21,True,c=15.0 k=15,SPARE,15.0,15,88.0,5.59,5,5.5
22,True,c=10.0 k=15,SPARE,10.0,15,88.0,9.87,9,9.5
4,True,c=1.0 k=15,CAST,1.0,15,86.0,1.39,1,1.5
11,True,c=2.0 k=15,SAEIO,2.0,15,86.0,1.61,1,1.5
24,True,c=4.0 k=15,SRPS,4.0,15,86.0,2.16,2,2.5
6,True,c=7.5 k=15,MANIFOLD,7.5,15,86.0,2.31,2,2.5
16,True,c=5.0 k=15,SAS,5.0,15,86.0,4.46,4,4.5
10,True,c=7.5 k=3,SAECOT,7.5,top3,84.0,4.87,4,4.5
9,True,c=5.0 k=3,SAECOT,5.0,top3,82.0,2.4,2,2.5
17,True,c=7.5 k=15,SAS,7.5,15,80.0,8.95,8,8.5
26,True,c=7.5 k=15,SRPS,7.5,15,78.0,5.43,5,5.5
