rank,act_cov_eig,recon_cov_eig,act_cov_cum_energy_pct,recon_cov_cum_energy_pct
1,1414.227,1414.2134,5.527005,7.3542304
2,944.4748,912.0006,9.218151,12.096839
3,750.90063,740.86707,12.15278,15.949515
4,596.14,560.4075,14.482583,18.863762
5,463.8136,441.76602,16.295233,21.161047
6,437.9896,382.68866,18.006962,23.151114
7,379.82266,357.58118,19.491364,25.010616
8,349.35477,311.86075,20.856695,26.632364
9,304.41156,283.9873,22.046377,28.109161
10,276.7565,256.0954,23.127983,29.440914
11,250.39087,238.77432,24.106546,30.682598
12,228.32928,211.9167,24.99889,31.78461
13,214.88683,194.77995,25.838697,32.79751
14,207.66414,189.22348,26.650278,33.781513
15,176.69135,157.14789,27.340816,34.59872
16,167.3217,150.43999,27.994732,35.381042
17,156.6174,139.90077,28.606815,36.108555
18,151.5103,139.12466,29.198938,36.83204
19,137.89967,128.02576,29.737873,37.4978
20,133.82828,122.02676,30.260893,38.132366
21,129.04474,120.58199,30.765219,38.75942
22,122.02883,109.824036,31.242125,39.330532
23,119.55504,105.93627,31.709364,39.881424
24,114.67786,101.06814,32.157543,40.407
25,111.31837,98.38707,32.59259,40.91864
26,108.38222,93.59463,33.016163,41.40535
27,104.122475,91.26427,33.423088,41.879948
28,97.84589,85.36504,33.80548,42.323864
29,94.452415,80.35676,34.174618,42.741737
30,87.490074,76.481384,34.51654,43.13946
31,84.85244,75.31015,34.848156,43.53109
32,83.09359,72.82387,35.172897,43.909794
33,80.83314,70.71517,35.488808,44.277527
34,78.42287,68.43815,35.795296,44.63342
35,77.24874,66.65933,36.097195,44.980064
36,75.689354,65.79472,36.393,45.322212
37,72.85612,63.096966,36.677734,45.65033
38,71.17599,61.657085,36.9559,45.970963
39,69.48438,58.441326,37.227455,46.27487
40,69.01556,57.614666,37.497177,46.57448
41,66.756226,55.703087,37.758068,46.864147
42,65.20348,54.59304,38.012894,47.14804
43,64.866875,53.98589,38.266403,47.428783
44,61.905228,52.308857,38.50834,47.7008
45,60.485615,51.917572,38.744724,47.970783
46,59.711807,50.782337,38.97809,48.234863
47,58.670227,49.895725,39.20738,48.49433
48,57.39455,48.922733,39.431683,48.74874
49,56.82519,47.856705,39.653763,48.99761
