dim,act_mean,act_var,act_std,act_skew,act_excess_kurtosis,act_q95_abs,act_q99_abs,act_max_abs,act_tail_ratio,recon_mean,recon_var,recon_std,recon_skew,recon_excess_kurtosis,recon_q95_abs,recon_q99_abs,recon_max_abs,recon_tail_ratio,var_delta,kurtosis_delta,tail_ratio_delta,abs_mean_delta
0,0.5116854,6.9733443,2.6407092,0.03536863,0.2250948,5.28125,7.25,12.8125,6.0307097,0.26582202,4.176477,2.043643,0.08253658,0.34153676,4.09375,5.625305,10.375,6.4186,-2.7968674,0.116441965,0.38789034,0.24586335
1,-0.39598048,6.350974,2.520114,-0.026462333,0.21381783,5.125,6.75,10.6875,5.3043222,-0.1327957,3.4890625,1.8679032,-0.041063905,0.2778604,3.71875,5.0625,8.5,5.761289,-2.8619115,0.06404257,0.45696688,0.2631848
2,-0.043766662,6.4224815,2.5342615,-0.013592496,0.21670699,5.0,6.8125,11.625,5.7999425,-0.03222057,3.7944942,1.9479462,-0.0059316233,0.25916338,3.8125,5.21875,9.5625,6.2171564,-2.6279874,0.04245639,0.41721392,0.011546094
3,-0.8096002,6.7541595,2.5988765,0.041958474,0.25817537,5.375,7.21875,12.375,5.733851,-0.44405034,3.834775,1.9582582,0.0775832,0.4318707,3.953888,5.46875,8.4375,5.3415475,-2.9193845,0.17369533,-0.39230347,0.36554983
4,-0.7724551,5.8362203,2.415827,0.04922214,0.19253802,5.0,6.656555,10.5,5.2128687,-0.66740644,3.323234,1.822974,0.04741777,0.2640252,3.828125,5.0625,8.5,5.5103416,-2.5129862,0.07148719,0.29747295,0.10504866
5,-0.38110524,6.5644803,2.5621243,-0.016382655,0.15526056,5.125,6.844055,12.1875,5.924884,-0.19696642,3.9329655,1.9831706,-0.01368969,0.26184964,3.96875,5.34375,9.0625,5.772792,-2.6315148,0.10658908,-0.15209198,0.18413882
6,0.20688808,7.9144483,2.813263,-0.03044095,0.23376179,5.5625,7.5,13.375,5.991992,-0.04367787,4.814551,2.1942084,0.04750167,0.53082156,4.3125,5.937805,10.9375,6.3607435,-3.0998974,0.29705977,0.36875153,0.25056595
7,-0.56486464,13.1673765,3.628688,-0.07803105,0.39957142,7.375,9.875,15.8125,5.5208035,-0.61410373,11.004541,3.3173094,-0.047809284,0.5484257,6.78125,9.125,16.125,6.185356,-2.1628351,0.14885426,0.6645527,0.0492391
8,-0.4048888,6.1650987,2.4829617,0.05712585,0.24087477,5.0,6.6875,10.1875,5.115104,-0.40448394,3.5850434,1.893421,0.04768107,0.29393673,3.859375,5.15625,8.25,5.398121,-2.5800552,0.053061962,0.28301668,0.00040486455
9,0.49476007,7.232518,2.6893342,0.047557145,0.11539149,5.375,7.15625,11.5625,5.3343406,0.39211622,4.522544,2.1266274,0.014438227,0.2684195,4.28125,5.781555,8.625,5.049607,-2.7099743,0.15302801,-0.28473377,0.10264385
